Frame ID,Material,Color,Width (inches),Style,Finish,Category,Availability,Image Filename,description
F0001,Wood,Champagne,2.0,Minimalist,Matte,Photography,Discontinued,F0001.png,"A Minimalist style frame made of Wood, finished in Matte champagne, with a width of 2.0 inches."
F0002,Composite,Gold,2.5,Vintage,Matte,Gallery,Discontinued,F0002.png,"A Vintage style frame made of Composite, finished in Matte gold, with a width of 2.5 inches."
F0003,Metal,Espresso,1.25,Minimalist,Matte,Photography,Discontinued,F0003.png,"A Minimalist style frame made of Metal, finished in Matte espresso, with a width of 1.25 inches."
F0004,Composite,Champagne,2.25,Rustic,Brushed,Home Decor,In Stock,F0004.png,"A Rustic style frame made of Composite, finished in Brushed champagne, with a width of 2.25 inches."
F0005,Composite,Gold,2.25,Modern,Matte,Gallery,In Stock,F0005.png,"A Modern style frame made of Composite, finished in Matte gold, with a width of 2.25 inches."
F0006,Metal,Gold,0.75,Minimalist,Satin,Museum,Discontinued,F0006.png,"A Minimalist style frame made of Metal, finished in Satin gold, with a width of 0.75 inches."
F0007,Metal,Walnut,1.0,Rustic,Brushed,Museum,Low Stock,F0007.png,"A Rustic style frame made of Metal, finished in Brushed walnut, with a width of 1.0 inches."
F0008,Composite,Silver,2.5,Classic,Glossy,Home Decor,Discontinued,F0008.png,"A Classic style frame made of Composite, finished in Glossy silver, with a width of 2.5 inches."
F0009,Composite,Natural,1.5,Baroque,Matte,Photography,Low Stock,F0009.png,"A Baroque style frame made of Composite, finished in Matte natural, with a width of 1.5 inches."
F0010,Metal,Espresso,0.5,Baroque,Glossy,Photography,Discontinued,F0010.png,"A Baroque style frame made of Metal, finished in Glossy espresso, with a width of 0.5 inches."
F0011,Metal,Silver,1.0,Vintage,Glossy,Poster,Discontinued,F0011.png,"A Vintage style frame made of Metal, finished in Glossy silver, with a width of 1.0 inches."
F0012,Metal,White,3.0,Modern,Matte,Poster,In Stock,F0012.png,"A Modern style frame made of Metal, finished in Matte white, with a width of 3.0 inches."
F0013,Metal,White,2.5,Modern,Brushed,Poster,Low Stock,F0013.png,"A Modern style frame made of Metal, finished in Brushed white, with a width of 2.5 inches."
F0014,Composite,Espresso,0.75,Rustic,Satin,Home Decor,Low Stock,F0014.png,"A Rustic style frame made of Composite, finished in Satin espresso, with a width of 0.75 inches."
F0015,Composite,Walnut,2.0,Vintage,Glossy,Museum,Discontinued,F0015.png,"A Vintage style frame made of Composite, finished in Glossy walnut, with a width of 2.0 inches."
F0016,Composite,Black,2.25,Modern,Satin,Museum,In Stock,F0016.png,"A Modern style frame made of Composite, finished in Satin black, with a width of 2.25 inches."
F0017,Wood,Silver,1.25,Rustic,Satin,Gallery,In Stock,F0017.png,"A Rustic style frame made of Wood, finished in Satin silver, with a width of 1.25 inches."
F0018,Composite,White,0.5,Minimalist,Brushed,Home Decor,In Stock,F0018.png,"A Minimalist style frame made of Composite, finished in Brushed white, with a width of 0.5 inches."
F0019,Composite,Silver,1.0,Modern,Brushed,Museum,Low Stock,F0019.png,"A Modern style frame made of Composite, finished in Brushed silver, with a width of 1.0 inches."
F0020,Composite,Gold,1.5,Rustic,Satin,Gallery,In Stock,F0020.png,"A Rustic style frame made of Composite, finished in Satin gold, with a width of 1.5 inches."
F0021,Composite,Champagne,2.0,Classic,Satin,Museum,Low Stock,F0021.png,"A Classic style frame made of Composite, finished in Satin champagne, with a width of 2.0 inches."
F0022,Wood,Charcoal,1.0,Modern,Matte,Gallery,Discontinued,F0022.png,"A Modern style frame made of Wood, finished in Matte charcoal, with a width of 1.0 inches."
F0023,Metal,Charcoal,0.75,Baroque,Matte,Poster,Low Stock,F0023.png,"A Baroque style frame made of Metal, finished in Matte charcoal, with a width of 0.75 inches."
F0024,Metal,Natural,2.25,Baroque,Glossy,Museum,In Stock,F0024.png,"A Baroque style frame made of Metal, finished in Glossy natural, with a width of 2.25 inches."
F0025,Composite,Natural,1.5,Minimalist,Glossy,Poster,In Stock,F0025.png,"A Minimalist style frame made of Composite, finished in Glossy natural, with a width of 1.5 inches."
F0026,Composite,Black,2.25,Modern,Glossy,Poster,Discontinued,F0026.png,"A Modern style frame made of Composite, finished in Glossy black, with a width of 2.25 inches."
F0027,Metal,Champagne,0.5,Minimalist,Brushed,Home Decor,In Stock,F0027.png,"A Minimalist style frame made of Metal, finished in Brushed champagne, with a width of 0.5 inches."
F0028,Metal,Natural,1.5,Minimalist,Brushed,Photography,Low Stock,F0028.png,"A Minimalist style frame made of Metal, finished in Brushed natural, with a width of 1.5 inches."
F0029,Composite,Black,2.25,Baroque,Matte,Photography,Discontinued,F0029.png,"A Baroque style frame made of Composite, finished in Matte black, with a width of 2.25 inches."
F0030,Wood,Espresso,2.25,Minimalist,Satin,Gallery,Discontinued,F0030.png,"A Minimalist style frame made of Wood, finished in Satin espresso, with a width of 2.25 inches."
F0031,Metal,Espresso,1.25,Minimalist,Satin,Photography,Discontinued,F0031.png,"A Minimalist style frame made of Metal, finished in Satin espresso, with a width of 1.25 inches."
F0032,Composite,Gold,2.5,Modern,Satin,Home Decor,In Stock,F0032.png,"A Modern style frame made of Composite, finished in Satin gold, with a width of 2.5 inches."
F0033,Metal,Black,3.0,Baroque,Matte,Photography,Low Stock,F0033.png,"A Baroque style frame made of Metal, finished in Matte black, with a width of 3.0 inches."
F0034,Wood,Oak,2.5,Modern,Brushed,Gallery,Low Stock,F0034.png,"A Modern style frame made of Wood, finished in Brushed oak, with a width of 2.5 inches."
F0035,Metal,Charcoal,2.25,Classic,Glossy,Poster,In Stock,F0035.png,"A Classic style frame made of Metal, finished in Glossy charcoal, with a width of 2.25 inches."
F0036,Metal,Charcoal,3.0,Baroque,Matte,Museum,Discontinued,F0036.png,"A Baroque style frame made of Metal, finished in Matte charcoal, with a width of 3.0 inches."
F0037,Wood,Walnut,2.25,Vintage,Satin,Photography,Low Stock,F0037.png,"A Vintage style frame made of Wood, finished in Satin walnut, with a width of 2.25 inches."
F0038,Composite,Gold,3.0,Modern,Matte,Poster,Low Stock,F0038.png,"A Modern style frame made of Composite, finished in Matte gold, with a width of 3.0 inches."
F0039,Composite,Walnut,2.0,Classic,Brushed,Museum,Discontinued,F0039.png,"A Classic style frame made of Composite, finished in Brushed walnut, with a width of 2.0 inches."
F0040,Wood,Espresso,0.75,Baroque,Glossy,Home Decor,Discontinued,F0040.png,"A Baroque style frame made of Wood, finished in Glossy espresso, with a width of 0.75 inches."
F0041,Composite,Walnut,1.5,Baroque,Satin,Home Decor,In Stock,F0041.png,"A Baroque style frame made of Composite, finished in Satin walnut, with a width of 1.5 inches."
F0042,Metal,Charcoal,1.25,Minimalist,Brushed,Gallery,Discontinued,F0042.png,"A Minimalist style frame made of Metal, finished in Brushed charcoal, with a width of 1.25 inches."
F0043,Composite,Espresso,2.25,Classic,Satin,Poster,In Stock,F0043.png,"A Classic style frame made of Composite, finished in Satin espresso, with a width of 2.25 inches."
F0044,Composite,White,2.0,Classic,Matte,Photography,In Stock,F0044.png,"A Classic style frame made of Composite, finished in Matte white, with a width of 2.0 inches."
F0045,Wood,Charcoal,0.5,Minimalist,Brushed,Museum,In Stock,F0045.png,"A Minimalist style frame made of Wood, finished in Brushed charcoal, with a width of 0.5 inches."
F0046,Metal,Walnut,2.5,Rustic,Matte,Poster,Discontinued,F0046.png,"A Rustic style frame made of Metal, finished in Matte walnut, with a width of 2.5 inches."
F0047,Metal,Walnut,0.5,Classic,Glossy,Home Decor,Low Stock,F0047.png,"A Classic style frame made of Metal, finished in Glossy walnut, with a width of 0.5 inches."
F0048,Composite,Silver,1.0,Baroque,Glossy,Home Decor,Low Stock,F0048.png,"A Baroque style frame made of Composite, finished in Glossy silver, with a width of 1.0 inches."
F0049,Wood,Natural,2.0,Baroque,Satin,Gallery,In Stock,F0049.png,"A Baroque style frame made of Wood, finished in Satin natural, with a width of 2.0 inches."
F0050,Composite,Charcoal,3.0,Classic,Satin,Photography,Low Stock,F0050.png,"A Classic style frame made of Composite, finished in Satin charcoal, with a width of 3.0 inches."
F0051,Wood,Oak,2.25,Classic,Matte,Gallery,Low Stock,F0051.png,"A Classic style frame made of Wood, finished in Matte oak, with a width of 2.25 inches."
F0052,Wood,Silver,3.0,Modern,Brushed,Poster,Low Stock,F0052.png,"A Modern style frame made of Wood, finished in Brushed silver, with a width of 3.0 inches."
F0053,Metal,Charcoal,1.25,Vintage,Matte,Photography,Low Stock,F0053.png,"A Vintage style frame made of Metal, finished in Matte charcoal, with a width of 1.25 inches."
F0054,Composite,Oak,3.0,Modern,Matte,Gallery,Low Stock,F0054.png,"A Modern style frame made of Composite, finished in Matte oak, with a width of 3.0 inches."
F0055,Composite,Charcoal,1.0,Baroque,Satin,Museum,In Stock,F0055.png,"A Baroque style frame made of Composite, finished in Satin charcoal, with a width of 1.0 inches."
F0056,Metal,Black,2.25,Vintage,Matte,Photography,In Stock,F0056.png,"A Vintage style frame made of Metal, finished in Matte black, with a width of 2.25 inches."
F0057,Wood,Espresso,0.5,Modern,Matte,Poster,In Stock,F0057.png,"A Modern style frame made of Wood, finished in Matte espresso, with a width of 0.5 inches."
F0058,Composite,Gold,1.5,Minimalist,Glossy,Museum,In Stock,F0058.png,"A Minimalist style frame made of Composite, finished in Glossy gold, with a width of 1.5 inches."
F0059,Composite,Espresso,1.0,Minimalist,Satin,Gallery,Discontinued,F0059.png,"A Minimalist style frame made of Composite, finished in Satin espresso, with a width of 1.0 inches."
F0060,Metal,Natural,1.5,Vintage,Brushed,Gallery,Low Stock,F0060.png,"A Vintage style frame made of Metal, finished in Brushed natural, with a width of 1.5 inches."
F0061,Metal,Espresso,2.25,Classic,Satin,Photography,Low Stock,F0061.png,"A Classic style frame made of Metal, finished in Satin espresso, with a width of 2.25 inches."
F0062,Composite,Champagne,1.5,Vintage,Glossy,Museum,In Stock,F0062.png,"A Vintage style frame made of Composite, finished in Glossy champagne, with a width of 1.5 inches."
F0063,Wood,Silver,2.25,Rustic,Matte,Museum,Discontinued,F0063.png,"A Rustic style frame made of Wood, finished in Matte silver, with a width of 2.25 inches."
F0064,Metal,Walnut,1.5,Minimalist,Matte,Home Decor,Discontinued,F0064.png,"A Minimalist style frame made of Metal, finished in Matte walnut, with a width of 1.5 inches."
F0065,Wood,Walnut,2.25,Minimalist,Satin,Poster,In Stock,F0065.png,"A Minimalist style frame made of Wood, finished in Satin walnut, with a width of 2.25 inches."
F0066,Metal,Black,0.5,Rustic,Satin,Gallery,Discontinued,F0066.png,"A Rustic style frame made of Metal, finished in Satin black, with a width of 0.5 inches."
F0067,Wood,Champagne,2.25,Vintage,Satin,Photography,Discontinued,F0067.png,"A Vintage style frame made of Wood, finished in Satin champagne, with a width of 2.25 inches."
F0068,Composite,Oak,0.75,Rustic,Satin,Gallery,In Stock,F0068.png,"A Rustic style frame made of Composite, finished in Satin oak, with a width of 0.75 inches."
F0069,Composite,Champagne,1.5,Rustic,Matte,Museum,Low Stock,F0069.png,"A Rustic style frame made of Composite, finished in Matte champagne, with a width of 1.5 inches."
F0070,Wood,Gold,1.25,Minimalist,Satin,Photography,In Stock,F0070.png,"A Minimalist style frame made of Wood, finished in Satin gold, with a width of 1.25 inches."
F0071,Wood,Natural,2.5,Minimalist,Brushed,Poster,In Stock,F0071.png,"A Minimalist style frame made of Wood, finished in Brushed natural, with a width of 2.5 inches."
F0072,Composite,Oak,0.75,Classic,Matte,Photography,Low Stock,F0072.png,"A Classic style frame made of Composite, finished in Matte oak, with a width of 0.75 inches."
F0073,Composite,Walnut,0.5,Modern,Brushed,Home Decor,In Stock,F0073.png,"A Modern style frame made of Composite, finished in Brushed walnut, with a width of 0.5 inches."
F0074,Metal,Gold,0.75,Minimalist,Glossy,Museum,Low Stock,F0074.png,"A Minimalist style frame made of Metal, finished in Glossy gold, with a width of 0.75 inches."
F0075,Wood,White,1.5,Minimalist,Glossy,Museum,Discontinued,F0075.png,"A Minimalist style frame made of Wood, finished in Glossy white, with a width of 1.5 inches."
F0076,Wood,Natural,1.25,Modern,Glossy,Museum,In Stock,F0076.png,"A Modern style frame made of Wood, finished in Glossy natural, with a width of 1.25 inches."
F0077,Metal,Black,1.25,Minimalist,Satin,Gallery,Discontinued,F0077.png,"A Minimalist style frame made of Metal, finished in Satin black, with a width of 1.25 inches."
F0078,Metal,Gold,2.0,Modern,Glossy,Photography,Discontinued,F0078.png,"A Modern style frame made of Metal, finished in Glossy gold, with a width of 2.0 inches."
F0079,Metal,Espresso,3.0,Vintage,Glossy,Photography,Discontinued,F0079.png,"A Vintage style frame made of Metal, finished in Glossy espresso, with a width of 3.0 inches."
F0080,Composite,Gold,0.75,Baroque,Matte,Poster,In Stock,F0080.png,"A Baroque style frame made of Composite, finished in Matte gold, with a width of 0.75 inches."
F0081,Wood,Espresso,2.0,Baroque,Brushed,Photography,Discontinued,F0081.png,"A Baroque style frame made of Wood, finished in Brushed espresso, with a width of 2.0 inches."
F0082,Wood,Walnut,1.5,Classic,Matte,Museum,In Stock,F0082.png,"A Classic style frame made of Wood, finished in Matte walnut, with a width of 1.5 inches."
F0083,Wood,Gold,2.25,Baroque,Matte,Photography,Discontinued,F0083.png,"A Baroque style frame made of Wood, finished in Matte gold, with a width of 2.25 inches."
F0084,Metal,Black,1.25,Vintage,Glossy,Gallery,Discontinued,F0084.png,"A Vintage style frame made of Metal, finished in Glossy black, with a width of 1.25 inches."
F0085,Composite,Silver,2.25,Rustic,Glossy,Museum,Low Stock,F0085.png,"A Rustic style frame made of Composite, finished in Glossy silver, with a width of 2.25 inches."
F0086,Metal,Oak,2.0,Vintage,Glossy,Home Decor,In Stock,F0086.png,"A Vintage style frame made of Metal, finished in Glossy oak, with a width of 2.0 inches."
F0087,Composite,Gold,2.0,Minimalist,Satin,Photography,Low Stock,F0087.png,"A Minimalist style frame made of Composite, finished in Satin gold, with a width of 2.0 inches."
F0088,Composite,White,3.0,Classic,Matte,Gallery,In Stock,F0088.png,"A Classic style frame made of Composite, finished in Matte white, with a width of 3.0 inches."
F0089,Composite,Natural,3.0,Rustic,Brushed,Gallery,Discontinued,F0089.png,"A Rustic style frame made of Composite, finished in Brushed natural, with a width of 3.0 inches."
F0090,Composite,Silver,2.5,Modern,Matte,Home Decor,Discontinued,F0090.png,"A Modern style frame made of Composite, finished in Matte silver, with a width of 2.5 inches."
F0091,Wood,White,2.0,Rustic,Matte,Gallery,Low Stock,F0091.png,"A Rustic style frame made of Wood, finished in Matte white, with a width of 2.0 inches."
F0092,Composite,Oak,3.0,Minimalist,Matte,Home Decor,Discontinued,F0092.png,"A Minimalist style frame made of Composite, finished in Matte oak, with a width of 3.0 inches."
F0093,Wood,White,0.5,Classic,Glossy,Museum,In Stock,F0093.png,"A Classic style frame made of Wood, finished in Glossy white, with a width of 0.5 inches."
F0094,Wood,Natural,2.25,Vintage,Brushed,Museum,Discontinued,F0094.png,"A Vintage style frame made of Wood, finished in Brushed natural, with a width of 2.25 inches."
F0095,Wood,Gold,0.5,Minimalist,Satin,Gallery,Discontinued,F0095.png,"A Minimalist style frame made of Wood, finished in Satin gold, with a width of 0.5 inches."
F0096,Wood,Oak,1.5,Vintage,Matte,Photography,Low Stock,F0096.png,"A Vintage style frame made of Wood, finished in Matte oak, with a width of 1.5 inches."
F0097,Wood,Oak,0.75,Classic,Brushed,Poster,Discontinued,F0097.png,"A Classic style frame made of Wood, finished in Brushed oak, with a width of 0.75 inches."
F0098,Metal,Silver,1.5,Vintage,Brushed,Museum,In Stock,F0098.png,"A Vintage style frame made of Metal, finished in Brushed silver, with a width of 1.5 inches."
F0099,Wood,Natural,1.5,Modern,Satin,Museum,Low Stock,F0099.png,"A Modern style frame made of Wood, finished in Satin natural, with a width of 1.5 inches."
